artist_name,rostr_handle
Olivia Rodrigo,
Taylor Swift,
Justin Bieber,
Bad Bunny,
Beyonce,
The Weeknd,
Drake,
Billie Eilish,
Ed Sheeran,
Ariana Grande,
Post Malone,
Sabrina Carpenter,
Chappell Roan,
Dua Lipa,
Kendrick Lamar,
SZA,
Travis Scott,
Bruno Mars,
Lana Del Rey,
Doja Cat,
Harry Styles,
Karol G,
Morgan Wallen,
Zach Bryan,
Tyler The Creator,
Megan Thee Stallion,
Charli XCX,
Lady Gaga,
Rihanna,
Kanye West,
