gamePk,home_jersey,home_pants,home_cap,home_jersey_code,away_jersey,away_pants,away_cap,away_jersey_code
778086,Phillies City Connect Jersey,Phillies City Connect Pants,Phillies City Connect Hat,143_jersey_5_2025,Diamondbacks Away Grey Jersey,Diamondbacks Away Grey Pants,"Diamondbacks Alt All Black ""A"" Hat",109_jersey_2_2025
778069,Giants Home Cream Jersey,Giants Home Cream Pants,Giants Primary All Black Hat,137_jersey_1_2025,Rockies Away Grey Jersey,Rockies Away Grey Pants,"Rockies Alt Black Top, Purple Bill Hat",115_jersey_2_2025
778074,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Rays Away Blue Jersey,Rays Away Grey Pants,"Rays Primary Navy Hat (""TB"")",139_jersey_2_2025
778066,White Sox City Connect 2.0 Jersey,White Sox City Connect 2.0 Pants,White Sox City Connect 2.0 Hat,145_jersey_5_2025,Astros Road Grey Jersey,Astros Road Grey Pants,Astros Primary All Blue Hat,117_jersey_2_2025
778064,Blue Jays Home White Jersey,Blue Jays Home White Pants,Blue Jays Primary All Blue Hat,141_jersey_1_2025,Guardians Alt Blue Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_4_2025
778065,"Pirates Alt Black ""Pittsburgh"" Jersey",Pirates Home White Pants,"Pirates Alt Hat Black Outline ""P""",134_jersey_4_2025,Padres Away Brown Jersey,Padres Away Brown Pants,Padres Primary All Brown Hat,135_jersey_2_2025
778073,Red Sox Alt Yellow Jersey,Red Sox Alt Baby Blue Trim Pants,"Red Sox Alt Baby Blue ""B"" Hat",111_jersey_4_2025,Twins Away Grey Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_2_2025
778067,Angels Home White Jersey,Angels Home White Pants,"Angels Primary Red ""A"" Hat",108_jersey_1_2025,Tigers Away Grey Jersey,Tigers Away Grey Pants,"Tigers Alt Navy ""Orange D"" Hat",116_jersey_2_2025
778078,Phillies Home Pinstripe Jersey,Phillies Home Pinstripe Pants,Phillies Primary Red Hat,143_jersey_1_2025,Diamondbacks Alt Black Jersey,Diamondbacks Away Grey Pants,"Diamondbacks Alt All Black ""A"" Hat",109_jersey_3_2025
778077,"Reds Alt Red ""Reds"" Script Jersey",Reds Home White Pants,"Reds Primary All Red ""C"" Hat",113_jersey_3_2025,Nationals Alt Blue Jersey,Nationals Road Grey Pants,"Nationals Alt Blue Top, Red Bill ""W"" Hat",120_jersey_4_2025
778071,Brewers Alt Pinstripe Jersey,Brewers Alt Pinstripe Pants,Brewers Primary All Navy Hat,158_jersey_3_2025,Cubs Away Grey Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_2_2025
778072,Orioles Alt Orange Jersey,Orioles Home White Pants,"Orioles White Front Orange Bill ""Bird"" Hat",110_jersey_4_2025,Royals Away Grey Jersey,Royals Away Grey Pants,Royals Primary Blue Hat,118_jersey_2_2025
778076,Braves City Connect Jersey,Braves City Connect Pants,Braves City Connect Hat,144_jersey_5_2025,"Dodgers Road Grey ""Los Angeles"" Jersey",Dodgers Road Grey Pants,Dodgers Primary Blue Hat,119_jersey_2_2025
778070,Rangers Home White Jersey,Rangers Home White Pants,Rangers Primary All Blue Hat,140_jersey_1_2025,Mariners Away Navy Jersey,Mariners Away Grey Pants,"Mariners Alt Navy Top, Teal Bill Hat",136_jersey_2_2025
778075,Marlins City Connect 2.0 Jersey,Marlins City Connect 2.0 Pants,Marlins City Connect 2.0 Hat,146_jersey_5_2025,Athletics Road Grey Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, Yellow Trim ""A's""",133_jersey_2_2025
778063,"Red Sox Home White Jersey (""Red Sox"")",Red Sox Home White Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_1_2025,Twins Away Grey Jersey,Twins Away Grey Pants,"Twins Alt Navy ""M"" Hat",142_jersey_2_2025
778061,Marlins Alt Blue Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_4_2025,Athletics Road Grey Jersey,Athletics Road Grey Pants,"Athletics Alt All Green Hat, Yellow Trim ""A's""",133_jersey_2_2025
778068,Cardinals Home White Jersey,Cardinals Home White Pants,"Cardinals Navy Top Red Bill ""Bird on Bat"" Hat",138_jersey_1_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778062,Orioles Home White Jersey,Orioles Home White Pants,"Orioles White Front Orange Bill ""Bird"" Hat",110_jersey_1_2025,Royals Alt Royal Blue Jersey,Royals Away Grey Pants,Royals Primary Blue Hat,118_jersey_4_2025
778053,Cardinals Alt Cream Jersey,Cardinals Alt Cream Pants,Cardinals Primary Red Hat,138_jersey_3_2025,"Mets Alt Blue Pullover ""New York"" Jersey",Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_4_2025
778051,Pirates Home White Jersey,Pirates Home White Pants,Pirates Primary Black Hat,134_jersey_1_2025,Padres Alt Brown Pinstripe Jersey,Padres Alt Brown Pinstripe Pants,Padres Primary All Brown Hat,135_jersey_3_2025
778057,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Rays Away Blue Jersey,Rays Away Grey Pants,"Rays Primary Navy Hat (""TB"")",139_jersey_2_2025
778050,Angels Home White Jersey,Angels Home White Pants,"Angels Primary Red ""A"" Hat",108_jersey_1_2025,Tigers Away Grey Jersey,Tigers Away Grey Pants,"Tigers Alt Navy ""Orange D"" Hat",116_jersey_2_2025
778056,Blue Jays Alt Baby Blue Jersey,Blue Jays Alt Baby Blue Pants,Blue Jays Alt Baby Blue Bill Hat,141_jersey_4_2025,Guardians Alt Blue Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_4_2025
778059,Phillies Alt Cream Jersey,Phillies Alt Cream Pants,Phillies Alt Blue Top Hat,143_jersey_3_2025,Diamondbacks Away Grey Jersey,Diamondbacks Away Grey Pants,"Diamondbacks Black Top Red Bill ""D"" Hat",109_jersey_2_2025
778055,White Sox Home Pinstripe Jersey,White Sox Home White Pinstripe Pants,White Sox Primary Black Hat,145_jersey_1_2025,Astros Alt Orange Jersey,Astros Road Grey Pants,Astros Primary All Blue Hat,117_jersey_3_2025
778054,Brewers Alt Pinstripe Jersey,Brewers Alt Pinstripe Pants,Brewers Primary All Navy Hat,158_jersey_3_2025,Cubs Away Grey Jersey,Cubs Away Grey Pants,Cubs Primary Blue Hat,112_jersey_2_2025
778052,Rangers Alt Baby Blue Jersey,Rangers Alt Baby Blue Pants,Rangers Alt Baby Blue Hat,140_jersey_3_2025,Mariners Away Navy Jersey,Mariners Away Grey Pants,"Mariners Alt Navy Top, Teal Bill Hat",136_jersey_2_2025
778048,Giants Home Cream Jersey,Giants Home Cream Pants,Giants Primary All Black Hat,137_jersey_1_2025,Rockies Alt Purple Jersey,Rockies Away Grey Pants,Rockies Primary Black Hat,115_jersey_3_2025
778058,Reds Home White Jersey,Reds Home White Pants,"Reds Primary All Red ""C"" Hat",113_jersey_1_2025,Nationals Alt Blue Jersey,Nationals Road Grey Pants,"Nationals Alt Blue Top, Red Bill ""W"" Hat",120_jersey_4_2025
778060,Braves Home White Jersey,Braves Home White Pants,Braves Primary Red Bill Hat,144_jersey_1_2025,"Dodgers Road Grey ""Los Angeles"" Jersey",Dodgers Road Grey Pants,Dodgers Primary Blue Hat,119_jersey_2_2025
778043,Royals Home White Jersey,Royals Home White Pants,Royals Primary Blue Hat,118_jersey_1_2025,White Sox Alt Black Jersey,White Sox Away Grey Pants,White Sox Primary Black Hat,145_jersey_3_2025
778047,Marlins Home White Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_1_2025,"Dodgers Road Grey ""Los Angeles"" Jersey",Dodgers Road Grey Pants,Dodgers Primary Blue Hat,119_jersey_2_2025
778045,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Padres Alt Brown Pinstripe Jersey,Padres Alt Brown Pinstripe Pants,Padres Primary All Brown Hat,135_jersey_3_2025
778049,Braves Home White Jersey,Braves Home White Pants,Braves Primary Red Bill Hat,144_jersey_1_2025,Reds Away Grey Jersey,Reds Away Grey Pants,"Reds Alt Red Top, Black Bill ""C"" Hat",113_jersey_2_2025
778044,Cubs Home Pinstripe Jersey,Cubs Home Pinstripe Pants,Cubs Primary Blue Hat,112_jersey_1_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778042,Brewers Home Cream Jersey,Brewers Home Cream Pants,Brewers Primary All Navy Hat,158_jersey_1_2025,Astros Road Grey Jersey,Astros Road Grey Pants,Astros Primary All Blue Hat,117_jersey_2_2025
778039,Diamondbacks Alt Black Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Alt All Black ""A"" Hat",109_jersey_3_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778038,Athletics Home White Jersey,Athletics Home White Pants,Athletics Primary Green Top Yellow Bill Hat,133_jersey_1_2025,Mariners Away Navy Jersey,Mariners Away Grey Pants,"Mariners Alt Navy Top, Teal Bill Hat",136_jersey_2_2025
778036,Cardinals Home White Jersey,Cardinals Home White Pants,Cardinals Primary Red Hat,138_jersey_1_2025,"Pirates Alt Black ""Pittsburgh"" Jersey",Pirates Road Grey Pants,"Pirates Alt Hat Black Outline ""P""",134_jersey_4_2025
778035,Marlins Home White Jersey,Marlins Home White Pants,Marlins Primary Black Hat,146_jersey_1_2025,"Dodgers Road Grey ""Los Angeles"" Jersey",Dodgers Road Grey Pants,Dodgers Primary Blue Hat,119_jersey_2_2025
778037,"Red Sox Home White Jersey (""Red Sox"")",Red Sox Home White Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_1_2025,Rangers Alt Blue Jersey,Rangers Away Grey Pants,Rangers Primary All Blue Hat,140_jersey_4_2025
778025,Angels Home White Jersey,Angels Home White Pants,"Angels Primary Red ""A"" Hat",108_jersey_1_2025,Blue Jays Alt All Blue Jersey,Blue Jays Away Grey Pants,Blue Jays Primary All Blue Hat,141_jersey_3_2025
778028,Twins Home White Jersey,Twins Home White Pants,"Twins Primary Navy ""TC"" Hat",142_jersey_1_2025,Orioles Away Grey Jersey,Orioles Away Grey Pants,"Orioles Alt Black Front Orange Bill ""O's"" Hat",110_jersey_2_2025
778040,"Rays Home White Jersey (""Rays"")",Rays Home White Pants,"Rays Primary Navy Hat (""TB"")",139_jersey_1_2025,Phillies Away Grey Jersey,Phillies Away Grey Pants,Phillies Primary Red Hat,143_jersey_2_2025
778026,Nationals Home White Jersey,Nationals Home White Pants,"Nationals Primary Red ""W"" Hat",120_jersey_1_2025,Guardians Alt Blue Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_4_2025
778041,Yankees Home Pinstripe Jersey,Yankees Home Pinstripe Pants,Yankees Primary Navy Hat,147_jersey_1_2025,Padres Away Brown Jersey,Padres Away Brown Pants,Padres Primary All Brown Hat,135_jersey_2_2025
778031,Brewers Home Cream Jersey,Brewers Home Cream Pants,Brewers Primary All Navy Hat,158_jersey_1_2025,Astros Road Grey Jersey,Astros Road Grey Pants,Astros Primary All Blue Hat,117_jersey_2_2025
778027,Cubs Home Pinstripe Jersey,Cubs Home Pinstripe Pants,Cubs Primary Blue Hat,112_jersey_1_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778046,Nationals Alt Blue Jersey,Nationals Home White Pants,"Nationals Alt Blue Top, Red Bill ""W"" Hat",120_jersey_4_2025,Guardians Away Grey Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_2_2025
778033,Royals Home White Jersey,Royals Home White Pants,Royals Primary Blue Hat,118_jersey_1_2025,White Sox Away Grey Jersey,White Sox Away Grey Pants,White Sox Primary Black Hat,145_jersey_2_2025
778030,Cardinals Home White Jersey,Cardinals Home White Pants,Cardinals Primary Red Hat,138_jersey_1_2025,"Pirates Alt Black ""Pittsburgh"" Jersey",Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_4_2025
778032,Diamondbacks Home Cream Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Red Top Black Bill ""A"" Hat",109_jersey_1_2025,Mets Away Grey Jersey,Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_2_2025
778024,Athletics Home White Jersey,Athletics Home White Pants,Athletics Primary Green Top Yellow Bill Hat,133_jersey_1_2025,Mariners Away Navy Jersey,Mariners Away Grey Pants,"Mariners Alt Navy Top, Teal Bill Hat",136_jersey_2_2025
778034,Braves Home White Jersey,Braves Home White Pants,Braves Primary Red Bill Hat,144_jersey_1_2025,Reds Away Grey Jersey,Reds Away Grey Pants,"Reds Alt Red Top, Black Bill ""C"" Hat",113_jersey_2_2025
778020,Cubs Home Pinstripe Jersey,Cubs Home Pinstripe Pants,Cubs Primary Blue Hat,112_jersey_1_2025,Giants Away Grey Jersey,Giants Away Grey Pants,Giants Primary All Black Hat,137_jersey_2_2025
778022,Nationals Alt Blue Jersey,Nationals Home White Pants,"Nationals Alt Blue Top, Red Bill ""W"" Hat",120_jersey_4_2025,Guardians Away Grey Jersey,Guardians Away Grey Pants,"Guardians Blue Top, Red Bill ""C"" Hat",114_jersey_2_2025
778010,Athletics Home White Jersey,Athletics Home White Pants,Athletics Primary Green Top Yellow Bill Hat,133_jersey_1_2025,Mariners Away Navy Jersey,Mariners Away Grey Pants,"Mariners Alt Navy Top, Teal Bill Hat",136_jersey_2_2025
778015,Brewers Home Cream Jersey,Brewers Home Cream Pants,Brewers Primary All Navy Hat,158_jersey_1_2025,Astros Alt Orange Jersey,Astros Road Grey Pants,"Astros Alt Blue top, Orange Bill Hat",117_jersey_3_2025
778018,"Red Sox Home White Jersey (""Red Sox"")",Red Sox Home White Pants,"Red Sox Primary Blue ""B"" Hat",111_jersey_1_2025,Rangers Alt Blue Jersey,Rangers Away Grey Pants,Rangers Primary All Blue Hat,140_jersey_4_2025
778016,Cardinals Home White Jersey,Cardinals Home White Pants,Cardinals Primary Red Hat,138_jersey_1_2025,"Pirates Alt Black ""Pittsburgh"" Jersey",Pirates Road Grey Pants,Pirates Primary Black Hat,134_jersey_4_2025
778014,Diamondbacks Alt Black Jersey,Diamondbacks Home Cream Pants,"Diamondbacks Alt All Black ""A"" Hat",109_jersey_3_2025,"Mets Alt Blue Pullover ""New York"" Jersey",Mets Away Grey Pants Blue/Orange Stripes,Mets Primary Blue Hat,121_jersey_4_2025
